City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
356,Camargo,MX,85.51,few clouds,27.6667,-105.1667,Hotel Santa Fe
357,Andros Town,BS,85.96,overcast clouds,24.7,-77.7667,Hanks place
358,Trairi,BR,78.3,scattered clouds,-3.2778,-39.2689,janelas do mar
359,El Alto,PE,83.86,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
360,Santiago Del Estero,AR,83.26,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
362,Kavieng,PG,80.69,light rain,-2.5744,150.7967,Nusa Island Retreat
364,Ndele,CF,82.76,overcast clouds,8.4109,20.6473,
365,Luwuk,ID,77.88,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
376,Santa Catarina De Tepehuanes,MX,82.24,clear sky,25.35,-105.7333,hotel plaza
377,Kirakira,SB,80.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
378,Paracuru,BR,83.1,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
379,Umarizal,BR,83.77,overcast clouds,-5.9906,-37.8144,Pousada Sossego
380,Ixtapa,MX,88.18,clear sky,20.7,-105.2,hotel la terminal
383,Tambilil,PH,78.31,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
387,Hobyo,SO,81.61,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
389,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
393,Parrita,CR,87.06,broken clouds,9.5201,-84.3225,Beso del Viento
395,Sao Caetano De Odivelas,BR,79.7,heavy intensity rain,-0.75,-48.02,Hotel do Luttis
397,Nueva Guinea,NI,89.83,broken clouds,11.6876,-84.4562,Posadita La Reyna
400,Makaha,US,79.56,few clouds,21.4694,-158.2175,Hawaiian Princess Resort
404,San Policarpo,PH,79.18,overcast clouds,12.1791,125.5072,Agapita M. Nicart
407,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
413,Kalmunai,LK,78.73,clear sky,7.4167,81.8167,VS Villa
414,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
415,Jejuri,IN,81.86,overcast clouds,18.2833,74.1667,Hotel Malhargad
417,Marechal Candido Rondon,BR,78.71,broken clouds,-24.5561,-54.0567,Hotel Bender
419,Bacungan,PH,78.08,overcast clouds,9.9106,118.7022,Sumayang Property
421,Jalu,LY,78.8,clear sky,29.0331,21.5482,صاحبة الفخامة
425,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
426,Marabba,SD,95.16,broken clouds,12.35,32.1833,
429,Kailua,US,80.58,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
430,Ilihan,PH,78.1,scattered clouds,13.6256,121.0753,Kamantigue Beach and Diving Resort
