City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Zhigansk,RU,66.7697,123.3711,2.03,98,98,9.1,overcast clouds
152,Tiksi,RU,71.6872,128.8694,4.77,98,100,8.01,overcast clouds
153,Namibe,AO,-15.1961,12.1522,70.88,80,100,8.79,overcast clouds
154,Vila Do Maio,CV,15.1333,-23.2167,74.19,75,52,15.86,broken clouds
155,Mayo,US,38.8876,-76.5119,58.39,44,75,17.27,broken clouds
156,Mataura,NZ,-46.1927,168.8643,46.13,95,98,2.01,overcast clouds
157,Ponta Delgada,PT,37.7333,-25.6667,61.52,67,20,13.8,few clouds
158,Vardo,NO,70.3705,31.1107,26.58,93,75,10.36,light shower snow
159,Watrous,CA,51.6668,-105.4679,40.78,70,31,6.91,scattered clouds
160,Alice Springs,AU,-23.7,133.8833,51.35,54,0,0.0,clear sky
161,Linhares,BR,-19.3911,-40.0722,80.28,70,14,7.85,few clouds
162,Husavik,IS,66.0449,-17.3389,29.77,95,100,11.99,snow
163,Omboue,GA,-1.5746,9.2618,78.1,87,77,4.85,broken clouds
164,Dharampur,IN,20.5333,73.1833,77.31,73,0,3.31,clear sky
165,Narsaq,GL,60.9167,-46.05,46.62,76,100,4.41,overcast clouds
166,La Ronge,CA,55.1001,-105.2842,41.22,48,20,6.91,few clouds
167,Vao,NC,-22.6667,167.4833,79.11,87,88,19.28,overcast clouds
168,Laguna,US,38.421,-121.4238,78.78,24,0,9.22,clear sky
169,Sun Valley,US,39.5963,-119.776,65.3,18,20,5.01,few clouds
170,Port Lincoln,AU,-34.7333,135.8667,58.87,83,0,3.38,clear sky
171,Brufut,GM,13.3814,-16.7518,67.68,86,91,20.49,overcast clouds
172,Ostrovnoy,RU,68.0531,39.5131,15.84,92,100,6.58,overcast clouds
173,Usinsk,RU,65.9939,57.5281,19.71,85,100,12.08,overcast clouds
174,Almaznyy,RU,48.0448,40.045,47.19,81,100,21.3,overcast clouds
175,Kjollefjord,NO,70.9457,27.3465,26.65,67,91,9.73,overcast clouds
176,Mareeba,AU,-17.0,145.4333,70.52,93,14,1.34,few clouds
177,Guerrero Negro,MX,27.9769,-114.0611,65.97,53,31,14.65,scattered clouds
178,Poum,NC,-20.2333,164.0167,81.99,82,100,17.81,overcast clouds
179,Najran,SA,17.4924,44.1277,72.25,15,10,0.92,clear sky
180,Gushikawa,JP,26.3544,127.8686,63.63,80,40,9.22,scattered clouds
181,Dire Dawa,ET,9.5931,41.8661,75.78,50,93,4.12,overcast clouds
182,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
183,Pisco,PE,-13.7,-76.2167,73.45,64,0,18.41,clear sky
184,Trabzon,TR,40.9167,39.8333,48.29,66,0,11.5,clear sky
185,Coihaique,CL,-45.5752,-72.0662,53.55,58,75,8.05,light intensity shower rain
186,Villa Maria,AR,-32.4075,-63.2402,71.82,44,0,18.07,clear sky
187,Chau Doc,VN,10.7,105.1167,74.57,73,99,9.62,overcast clouds
188,Broome,US,42.2506,-75.833,40.68,80,100,16.11,overcast clouds
189,Sistranda,NO,63.7256,8.834,31.96,83,100,8.46,light snow
190,Riverton,US,40.5219,-111.9391,61.45,22,0,5.01,clear sky
191,Conner,PH,17.7964,121.3275,72.54,98,100,3.51,overcast clouds
192,Quatre Cocos,MU,-20.2078,57.7625,80.1,79,21,13.09,few clouds
193,Sisimiut,GL,66.9395,-53.6735,34.07,89,14,4.21,few clouds
194,Acarau,BR,-2.8856,-40.12,79.95,84,23,12.37,moderate rain
195,Vestmannaeyjar,IS,63.4427,-20.2734,42.98,81,100,18.9,overcast clouds
196,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,82,20,15.68,few clouds
197,Mikuni,JP,36.2171,136.1519,48.11,86,10,5.79,clear sky
198,Provideniya,RU,64.3833,-173.3,2.8,74,0,11.5,clear sky
199,Cabra,ES,37.4725,-4.4421,45.99,73,100,3.85,overcast clouds
200,Codrington,AU,-38.2667,141.9667,58.39,85,100,5.39,overcast clouds
201,Sungaipenuh,ID,-2.0833,101.3833,62.02,90,87,1.95,overcast clouds
202,Loikaw,MM,19.6742,97.2094,66.94,67,81,2.86,broken clouds
203,Montrose,US,38.4166,-108.2673,47.44,56,100,4.34,overcast clouds
204,Kushmurun,KZ,52.4503,64.6311,37.02,97,100,15.82,overcast clouds
205,Tarakan,ID,3.3,117.6333,78.84,83,100,2.21,overcast clouds
206,Ihosy,MG,-22.4,46.1167,64.81,96,1,5.19,clear sky
207,Faya,SA,18.3851,42.4509,66.31,26,85,3.67,overcast clouds
208,Luanda,AO,-8.8368,13.2343,80.6,74,75,10.36,broken clouds
209,Kenai,US,60.5544,-151.2583,39.02,59,0,11.5,clear sky
210,Honningsvag,NO,70.9821,25.9704,26.35,80,75,16.11,broken clouds
211,Ajdabiya,LY,30.7554,20.2263,78.64,14,2,10.74,clear sky
212,Namatanai,PG,-3.6667,152.4333,78.37,85,100,2.39,light rain
213,Yulara,AU,-25.2406,130.9889,57.04,35,0,4.61,clear sky
214,Longyearbyen,SJ,78.2186,15.6401,6.64,56,20,18.41,few clouds
215,Ancud,CL,-41.8697,-73.8203,50.23,67,81,8.99,broken clouds
216,Kumluca,TR,36.3703,30.2869,62.67,54,7,3.44,clear sky
217,Seoul,KR,37.5683,126.9778,40.44,84,0,3.44,mist
218,Khorol,UA,49.7837,33.2783,34.39,96,100,9.95,light snow
219,Lavrentiya,RU,65.5833,-171.0,-8.03,89,22,11.16,few clouds
220,Dikson,RU,73.5069,80.5464,-2.94,100,45,9.19,scattered clouds
221,Kahului,US,20.8947,-156.47,78.96,66,40,25.32,scattered clouds
222,Miranda,CO,3.2499,-76.2281,84.65,68,93,1.43,light rain
223,Moncton,CA,46.1159,-64.8019,49.05,40,75,9.22,broken clouds
224,Hovd,MN,48.0056,91.6419,40.64,36,99,6.62,overcast clouds
225,Santa Rosa,PH,14.3122,121.1114,80.02,74,86,10.38,overcast clouds
226,Yertsevo,RU,60.7966,40.086,11.64,96,16,3.83,few clouds
227,San Jeronimo,PE,-11.9472,-75.2829,59.7,59,84,3.42,broken clouds
228,Cabo San Lucas,MX,22.8909,-109.9124,77.61,57,0,10.36,clear sky
229,Chokurdakh,RU,70.6333,147.9167,-21.78,100,81,2.57,broken clouds
230,Kaabong,UG,3.4836,34.1492,73.62,43,76,14.34,broken clouds
231,Muros,ES,42.7762,-9.0603,49.08,52,0,19.69,clear sky
232,Torbay,CA,47.6666,-52.7314,41.77,71,20,35.68,few clouds
233,Necochea,AR,-38.5473,-58.7368,55.35,66,100,24.38,overcast clouds
234,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,17.27,scattered clouds
235,Avera,US,33.194,-82.5271,75.54,28,0,11.23,clear sky
236,Salalah,OM,17.0151,54.0924,78.44,63,1,2.62,clear sky
237,Coquimbo,CL,-29.9533,-71.3436,62.33,72,0,12.66,clear sky
238,Karratha,AU,-20.7377,116.8463,80.78,71,0,10.69,clear sky
239,Atar,MR,20.5169,-13.0499,77.85,16,0,9.86,clear sky
240,Tigre,AR,-34.426,-58.5796,73.54,82,100,5.06,overcast clouds
241,Saint Anthony,US,45.0205,-93.218,43.25,69,100,8.05,snow
242,Esperance,AU,-33.8667,121.9,62.44,92,100,7.54,light rain
243,Atasu,KZ,48.6814,71.6433,37.11,71,100,5.44,overcast clouds
