City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,Kloulklubed,7.0419,134.2556,75.7,76,100,6.96,PW,2022-04-02 15:33:21
129,New Norfolk,-42.7826,147.0587,54.9,70,72,1.01,AU,2022-04-02 15:38:15
130,Torbay,47.6666,-52.7314,43.29,95,100,17.16,CA,2022-04-02 15:35:10
131,Arawa,-6.2132,155.5367,75.65,88,100,2.3,PG,2022-04-02 15:39:16
132,Nabire,-3.3667,135.4833,77.04,85,100,4.9,ID,2022-04-02 15:39:16
133,Meulaboh,4.1363,96.1285,78.67,84,100,2.48,ID,2022-04-02 15:39:17
134,Placido De Castro,-10.3353,-67.1856,75.69,58,100,4.47,BR,2022-04-02 15:39:17
135,Haines Junction,60.7522,-137.5108,13.95,85,96,4.61,CA,2022-04-02 15:33:20
136,Souillac,-20.5167,57.5167,73.78,100,40,8.05,MU,2022-04-02 15:39:18
137,Yulara,-25.2406,130.9889,66.04,32,4,8.05,AU,2022-04-02 15:32:04
138,Novocheremshansk,54.3571,50.1666,38.52,100,100,5.82,RU,2022-04-02 15:39:18
139,Bulawayo,-20.15,28.5833,77.59,32,73,2.04,ZW,2022-04-02 15:39:19
140,Upernavik,72.7868,-56.1549,13.66,92,95,12.1,GL,2022-04-02 15:39:19
141,Fare,-16.7,-151.0167,81.86,72,99,6.17,PF,2022-04-02 15:39:20
142,Guerrero Negro,27.9769,-114.0611,62.24,67,6,9.44,MX,2022-04-02 15:39:20
143,Kochubey,44.3861,46.5825,53.74,66,15,8.68,RU,2022-04-02 15:39:21
144,Kuytun,54.3419,101.5036,35.46,93,100,14.88,RU,2022-04-02 15:39:21
145,Wajir,1.7471,40.0573,90.93,35,100,3.47,KE,2022-04-02 15:39:21
146,Nan,18.8333,100.6667,71.74,69,98,2.33,TH,2022-04-02 15:39:22
147,Moranbah,-22.0016,148.0466,71.58,79,2,8.9,AU,2022-04-02 15:39:22
148,San Quintin,30.4833,-115.95,58.69,77,100,3.0,MX,2022-04-02 15:29:30
149,Mareeba,-17.0,145.4333,70.52,98,96,2.24,AU,2022-04-02 15:39:23
150,Awbari,26.5921,12.7805,90.05,9,100,7.85,LY,2022-04-02 15:29:23
151,Vodnyy,63.5046,53.4095,15.55,91,100,2.3,RU,2022-04-02 15:39:23
152,Tabas,33.5959,56.9244,76.68,12,0,2.89,IR,2022-04-02 15:39:24
153,Boda,4.3189,17.4695,92.68,32,100,8.5,CF,2022-04-02 15:39:24
154,Casa Branca,-21.7739,-47.0864,79.63,60,17,1.21,BR,2022-04-02 15:39:25
155,Longyearbyen,78.2186,15.6401,1.24,60,20,10.36,SJ,2022-04-02 15:31:58
156,Fairbanks,64.8378,-147.7164,14.34,47,100,8.05,US,2022-04-02 15:35:03
157,Ilulissat,69.2167,-51.1,33.82,60,20,3.44,GL,2022-04-02 15:39:25
158,Puncan,15.9071,120.9907,71.49,87,55,5.37,PH,2022-04-02 15:39:26
159,Visnes,59.3556,5.2242,43.21,70,20,13.8,NO,2022-04-02 15:39:26
160,Bayshore Gardens,27.4253,-82.5904,86.14,67,40,11.5,US,2022-04-02 15:39:26
161,Novo Cruzeiro,-17.4681,-41.8753,83.28,37,29,6.53,BR,2022-04-02 15:39:27
162,Tautira,-17.7333,-149.15,81.59,75,88,8.63,PF,2022-04-02 15:39:27
163,Mansfield,53.1333,-1.2,48.65,64,81,1.01,GB,2022-04-02 15:39:27
164,Torres,-29.3353,-49.7269,69.82,67,38,7.92,BR,2022-04-02 15:39:28
165,Scarborough,54.2797,-0.4044,46.33,77,20,7.0,GB,2022-04-02 15:39:28
166,Atuona,-9.8,-139.0333,78.48,76,6,14.85,PF,2022-04-02 15:35:09
167,Salvador,13.8333,-88.9167,82.8,38,3,1.68,SV,2022-04-02 15:39:29
168,Berlevag,70.8578,29.0864,22.8,94,100,14.34,NO,2022-04-02 15:31:58
169,Tandil,-37.3217,-59.1332,65.93,43,0,17.65,AR,2022-04-02 15:39:29
170,Vestmannaeyjar,63.4427,-20.2734,45.59,93,100,12.66,IS,2022-04-02 15:39:30
171,Lishui,28.4604,119.9103,48.51,79,100,2.19,CN,2022-04-02 15:39:30
172,Ajdabiya,30.7554,20.2263,75.29,24,100,6.87,LY,2022-04-02 15:39:30
173,Niefern-Oschelbronn,48.9167,8.7833,36.41,97,100,8.46,DE,2022-04-02 15:39:31
174,Valparaiso,-33.0393,-71.6273,55.04,100,100,4.61,CL,2022-04-02 15:39:31
175,Ishigaki,24.3448,124.1572,62.73,94,75,18.41,JP,2022-04-02 15:39:32
176,Norman Wells,65.282,-126.8329,-25.56,68,20,0.0,CA,2022-04-02 15:40:32
